"Cod_Capital","DP","DPNOM","Nom_Capital","Year","Poblacion_Mun","Poblacion_Depto","Poblacion_DeptoH","Poblacion_DeptoM","Pob40_Depto","Pob40H_Depto","Pob40M_Depto","Tabaquismo","TabacoTasa","Muertes_H","Muertes_M","Muertes_Total","Tasa_Mort","Muerte_40","Tasa_40_Mort","A - AMBULATORIO","H - HOSPITALARIO","U - EN URGENCIA","N - NO APLICA","Pacientes","patients_rate","Dx_Confirmado","Espiro","Espiro_Tasa","Consulta","ConsultaTasa","Procedimientos","Urgencias","Hospitalizacion","HospitaTasa","total_prevalence","lethality_rate","Espiro_Nal","spirometry_rate","Espiro_Deficit","biomass_stove_usage","multidimensional_poverty_index","pop_over_40_percent","spirometry_score","lethality_score","access_score","bias_index_score","adjustment_factor"
91001,91,"Amazonas","Leticia","2020",50950,80472,41631,38841,19043,9709,9334,0.0666666666666667,6666.66666666667,1,2,3,3.73,3,15.7538203014231,24,2,3,103,112,139.178844815588,30,1,1.24266825728204,98,121.78148921364,28,15,10,12.4266825728204,0.00588142624586462,2678.57142857143,163,202.554925936972,902.525074063028,0.869,0.149,0.236641316234218,0.816705644897227,0,0.285676960347366,1.10238260524459,2.10238260524459
91001,91,"Amazonas","Leticia","2021",52226,82171,42362,39809,19644,9943,9701,0.0645161290322581,6451.61290322581,11,4,15,18.25,15,76.3591936469151,9,6,4,58,63,76.669384576067,14,0,0,54,65.7166153509146,14,4,10,12.1697435835027,0.00320708613317043,23809.5238095238,48,58.4147692008129,1046.66523079919,0.564,0.143,0.239062442954327,0.947139782458453,1.80130668653973,0.606501204179135,3.35494767317732,4.35494767317732
91001,91,"Amazonas","Leticia","2022",53201,83690,42977,40713,20232,10159,10073,0.078125,7812.5,4,6,10,11.95,10,49.4266508501384,14,17,6,125,133,158.919823156889,13,0,0,116,138.606763054128,30,6,23,27.4823754331461,0.00657374456306841,7518.7969924812,40,47.7954355359063,1057.28456446409,0.622,0.107,0.241749312940614,0.956749343453952,0,0.184358145169964,1.14110748862392,2.14110748862392
91001,91,"Amazonas","Leticia","2023",54110,85056,43532,41524,20798,10378,10420,0.0606060606060606,6060.60606060606,5,1,6,7.05,6,28.8489277815175,21,6,13,119,137,161.07035364936,18,4,4.70278404815651,116,136.380737396539,37,7,18,21.1625282167043,0.00658717184344649,4379.56204379562,46,54.0820165537998,1050.9979834462,0.67,0.095,0.244521256583898,0.951060541722047,0,0.173320738728755,1.1243812804508,2.1243812804508
5001,5,"Antioquia","Medellín","2020",2519592,6649401,3211901,3437500,2553115,1152264,1400851,0.0832759807295251,8327.59807295251,1074,1052,2126,31.97,2109,82.6049747073673,20788,1008,1794,37091,46954,706.138793554487,13036,3183,47.8689734609178,36268,545.432588589559,22700,3149,2741,41.2217581703976,0.0183908676264093,4527.83575414235,12927,194.408488824783,910.671511175217,0.948,0.141,0.383961653087248,0.824077452469701,0,0,0.824077452469701,1.8240774524697
5001,5,"Antioquia","Medellín","2021",2549008,6726219,3247822,3478397,2616193,1179898,1436295,0.0913731495661052,9137.31495661052,1070,1260,2330,34.64,2309,88.2580146036626,26620,757,727,35198,48311,718.24898951402,12848,5360,79.6881576410165,34490,512.769506910197,27648,2062,2580,38.357359461534,0.0184661452729214,4822.91817598477,16464,244.77347526151,860.30652473849,0.936,0.155,0.388954477991276,0.778501578834555,0,0,0.778501578834555,1.77850157883456
5001,5,"Antioquia","Medellín","2022",2572350,6787846,3276175,3511671,2675125,1205725,1469400,0.0764490339773484,7644.90339773484,1302,1479,2781,40.97,2765,103.359656090837,13993,1430,1907,38922,43411,639.540142778725,19525,6686,98.4995829310211,38167,562.284412463099,16080,3735,4342,63.9672732704896,0.0162276529134153,6406.2104075004,47211,695.522556050918,409.557443949082,0.889,0.102,0.394105140275722,0.370613389029828,0,0,0.370613389029828,1.37061338902983
5001,5,"Antioquia","Medellín","2023",2595300,6848360,3304483,3543877,2737800,1233827,1503973,0.0658045506629563,6580.45506629563,1287,1382,2669,38.97,2657,97.0487252538535,13145,1409,2181,42524,47365,691.625440251389,20084,1939,28.313348013247,41889,611.664690524447,15389,4277,4847,70.7760690150635,0.017300387172182,5634.96252507126,39628,578.649486884451,526.430513115549,0.931,0.12,0.399774544562494,0.476373215618371,0,0,0.476373215618371,1.47637321561837
81001,81,"Arauca","Arauca","2020",93457,291252,146443,144809,86704,42950,43754,0.0334728033472803,3347.28033472803,35,17,52,17.85,49,56.5141169957557,59,2,8,652,671,230.384684053672,158,12,4.12014338098966,624,214.247455811462,68,87,55,18.8839904962026,0.0077389739804392,7749.62742175857,299,102.660239242992,1002.41976075701,0.952,0.075,0.297694093087773,0.907101531795895,0,0,0.907101531795895,1.9071015317959
81001,81,"Arauca","Arauca","2021",95631,300637,150811,149826,91045,44905,46140,0.0413223140495868,4132.23140495868,34,14,48,15.97,47,51.6228238783019,119,1,14,565,624,207.559282456917,176,20,6.65254110438835,550,182.94488037068,132,29,36,11.974573987899,0.00685375363831073,7692.30769230769,621,206.561401291258,898.518598708742,0.928,0.057,0.302840302424519,0.813080137825987,0,0,0.813080137825987,1.81308013782599
81001,81,"Arauca","Arauca","2022",97771,307628,153918,153710,94809,46563,48246,0.036734693877551,3673.4693877551,35,32,67,21.78,66,69.6136442742778,142,13,7,669,729,236.974527676284,282,26,8.45176641918161,641,208.368549026747,159,56,82,26.655571014342,0.00768914343574977,9190.67215363512,529,171.960939836426,933.119060163574,0.945,0.038,0.308193662475457,0.844390505812768,0.081327437026448,0,0.925717942839216,1.92571794283922
81001,81,"Arauca","Arauca","2023",99393,313097,156269,156828,98257,48075,50182,0.0717131474103586,7171.31474103586,30,22,52,16.61,51,51.9046989018594,107,4,5,667,706,225.489225383827,228,19,6.06840691542876,651,207.922784312849,115,52,57,18.2052207462863,0.00718523871072799,7365.43909348442,474,151.390783048065,953.689216951935,0.926,0.036,0.313822872783834,0.863004684685213,0,0,0.863004684685213,1.86300468468521
88001,88,"Archipiélago de San Andrés","San Andrés","2020",55945,61898,29765,32133,24727,11142,13585,0.0277777777777778,2777.77777777778,12,2,14,22.62,14,56.6182715250536,5,2,0,115,120,193.867330123752,38,2,3.2311221687292,112,180.942841448835,7,15,13,21.0022940967398,0.00485299470214745,11666.6666666667,5,8.077805421823,1097.00219457818,0.852,0.281,0.399479789330835,0.992690298058219,0.372640276404472,0.00499317459610782,1.3703237490588,2.3703237490588
88001,88,"Archipiélago de San Andrés","San Andrés","2021",56226,62159,29821,32338,25195,11304,13891,0.0277777777777778,2777.77777777778,6,1,7,11.26,7,27.783290335384,11,1,1,80,84,135.13730915877,24,2,3.21755497997072,80,128.702199198829,13,5,3,4.82633246995608,0.00333399484024608,8333.33333333333,2,3.21755497997072,1101.86244502003,0.95,0.268,0.405331488601812,0.997088396333324,0,0.306419782570585,1.30350817890391,2.30350817890391
88001,88,"Archipiélago de San Andrés","San Andrés","2022",56318,62255,29780,32475,25645,11452,14193,0.0277777777777778,2777.77777777778,5,5,10,16.06,10,38.9939559368298,7,18,10,112,116,186.330415227693,72,2,3.2125933659947,107,171.873745080716,31,22,19,30.5196369769496,0.00452329888867226,8620.68965517242,27,43.3700104409284,1061.70998955907,0.958,0.194,0.41193478435467,0.960753963114952,0.0142662140919723,0.0436757198154592,1.01869589702238,2.01869589702238
88001,88,"Archipiélago de San Andrés","San Andrés","2023",56333,62269,29698,32571,26083,11591,14492,0,0,6,6,12,19.27,12,46.006977724955,8,17,5,114,118,189.500393454207,75,2,3.21187107549503,111,178.258844689974,27,18,16,25.6949686039602,0.00452401947628724,10169.4915254237,21,33.7246462926978,1071.3553537073,0.956,0.184,0.418876166310684,0.96948216754199,0.196490313572899,0.0274060885694429,1.19337856968433,2.19337856968433
8001,8,"Atlántico","Barranquilla","2020",1275264,2693665,1313901,1379764,943989,436264,507725,0.0283595113438045,2835.95113438045,293,199,492,18.27,489,51.8014510762308,1829,181,244,6202,7187,266.811203323353,1465,359,13.3275667167224,5984,222.150861372888,2193,500,379,14.0700495421665,0.00761343617351473,6845.69361346876,2571,95.4461672108447,1009.63383278916,0.822,0.117,0.350447809954096,0.913629631148112,0,0,0.913629631148112,1.91362963114811
8001,8,"Atlántico","Barranquilla","2021",1294390,2741002,1337025,1403977,970964,448348,522616,0.0275624461670973,2756.24461670973,264,198,462,16.86,456,46.96363613893,2476,130,84,6343,7534,274.862988060571,1743,425,15.5052787265387,6233,227.398593652978,2637,297,209,7.6249488325802,0.00775929900593637,6132.20069020441,4144,151.185588335944,953.894411664056,0.966,0.109,0.354236881257292,0.863190367814146,0,0,0.863190367814146,1.86319036781415
8001,8,"Atlántico","Barranquilla","2022",1310163,2774958,1353916,1421042,995201,459382,535819,0.0223063973063973,2230.63973063973,325,244,569,20.5,562,56.471004349875,1425,241,133,6477,6911,249.048814432507,1175,364,13.1173156494621,6355,229.012475143768,1732,372,406,14.6308520705539,0.0069443258196083,8233.25133844596,6165,222.1655246674,882.9144753326,0.963,0.096,0.358636419001657,0.798959781493286,0,0,0.798959781493286,1.79895978149329
