"DPNOM","Nom_Capital","Year","predicted_adjustment","adjustment_factor","total_prevalence"
"Amazonas","Leticia",2020,2.11234381112476,2.10238260524459,0.00588142624586462
"Amazonas","Leticia",2021,4.45674375697074,4.35494767317732,0.00320708613317043
"Amazonas","Leticia",2022,2.17102455317566,2.14110748862392,0.00657374456306841
"Amazonas","Leticia",2023,2.15236004016403,2.1243812804508,0.00658717184344649
"Antioquia","Medellín",2020,1.82908898943813,1.8240774524697,0.0183908676264093
"Antioquia","Medellín",2021,1.77338033002743,1.77850157883456,0.0184661452729214
"Antioquia","Medellín",2022,1.36808171080117,1.37061338902983,0.0162276529134153
"Antioquia","Medellín",2023,1.46356211485493,1.47637321561837,0.017300387172182
"Arauca","Arauca",2020,1.95277697631728,1.9071015317959,0.0077389739804392
"Arauca","Arauca",2021,1.87481037026568,1.81308013782599,0.00685375363831073
"Arauca","Arauca",2022,1.93547829433869,1.92571794283922,0.00768914343574977
"Arauca","Arauca",2023,1.88391509440821,1.86300468468521,0.00718523871072799
"Archipiélago de San Andrés","San Andrés",2020,2.38725744667608,2.3703237490588,0.00485299470214745
"Archipiélago de San Andrés","San Andrés",2021,2.23577490957948,2.30350817890391,0.00333399484024608
"Archipiélago de San Andrés","San Andrés",2022,2.07871462214656,2.01869589702238,0.00452329888867226
"Archipiélago de San Andrés","San Andrés",2023,2.19216085174487,2.19337856968433,0.00452401947628724
"Atlántico","Barranquilla",2020,1.89409721511332,1.91362963114811,0.00761343617351473
"Atlántico","Barranquilla",2021,1.82121553084104,1.86319036781415,0.00775929900593637
"Atlántico","Barranquilla",2022,1.8149057032534,1.79895978149329,0.0069443258196083
"Atlántico","Barranquilla",2023,1.93585049372327,1.96054190278437,0.00646303136260693
"Bogotá, D.C.","Bogotá_DC",2020,1.62909821347221,1.60859748912577,0.0185752313868198
"Bogotá, D.C.","Bogotá_DC",2021,1.37887047072268,1.34765383697471,0.0172463652516316
"Bogotá, D.C.","Bogotá_DC",2022,1.40920411297867,1.39695268847984,0.0170290807668927
"Bogotá, D.C.","Bogotá_DC",2023,1.40754030033784,1.40955655190956,0.0181261985783448
"Bolívar","Cartagena de Indias",2020,1.96686482756573,1.91936571859586,0.00700966717836137
"Bolívar","Cartagena de Indias",2021,1.86225558435642,1.83921062105617,0.00744830767209211
"Bolívar","Cartagena de Indias",2022,1.8370076268005,1.85421843191376,0.00860234776228907
"Bolívar","Cartagena de Indias",2023,1.84409166012787,1.84018055675989,0.00779648210638203
"Boyacá","Tunja",2020,1.84099359615537,1.86116358442674,0.0188371661177298
"Boyacá","Tunja",2021,1.78339829629365,1.78708609205432,0.0172671810652337
"Boyacá","Tunja",2022,1.72037751725902,1.7512088303448,0.0213545748019392
"Boyacá","Tunja",2023,1.76211933010065,1.77356301584923,0.0181965958898957
"Caldas","Manizales",2020,1.78221995583862,1.73218574284507,0.0233421009443294
"Caldas","Manizales",2021,1.6730266342446,1.66350669862863,0.0213815035588548
"Caldas","Manizales",2022,1.77258710099617,1.79139314490651,0.0193568657156445
"Caldas","Manizales",2023,1.59900796254549,1.62195449026929,0.0175580251936999
"Caquetá","Florencia",2020,1.93354987281646,1.96828232389391,0.0113374624594073
"Caquetá","Florencia",2021,1.85109072430476,1.87971056883735,0.00976262332677714
"Caquetá","Florencia",2022,1.90339749189047,1.88650977252605,0.0102504540600373
"Caquetá","Florencia",2023,2.00321930171939,2.048324542139,0.0101185578007376
"Casanare","Yopal",2020,3.18840934354377,3.23782291967288,0.00271671837900042
"Casanare","Yopal",2021,2.11715521440437,2.15700586272391,0.00457568092158278
"Casanare","Yopal",2022,2.62461645268797,2.65714754597568,0.00501381840787615
"Casanare","Yopal",2023,5.21007204743964,5.25653376835212,0.00213708626531144
"Cauca","Popayán",2020,1.84974414351625,1.88995084720404,0.00968834143408136
"Cauca","Popayán",2021,1.82235584472991,1.86520806947949,0.00932558126538041
"Cauca","Popayán",2022,1.87713861604284,1.8685431993792,0.00867890237731188
"Cauca","Popayán",2023,1.81892859179079,1.87373417410376,0.00911626593228119
"Cesar","Valledupar",2020,1.98653892708817,1.90652022462691,0.00813961634565736
"Cesar","Valledupar",2021,1.90577791784631,1.86683395499291,0.008193136061546
"Cesar","Valledupar",2022,1.78921718228813,1.82172224476437,0.00962202632532303
"Cesar","Valledupar",2023,1.91409579713363,1.87800737799924,0.00856987447503391
"Chocó","Quibdó",2020,2.68413561683428,2.74542138427432,0.00338164900769107
"Chocó","Quibdó",2021,2.83225705857363,2.90309378318391,0.00307096255887631
"Chocó","Quibdó",2022,1.98773945526576,1.96996636542615,0.0214342336044342
"Chocó","Quibdó",2023,1.95596687712588,1.97111035529556,0.0224897377799948
"Córdoba","Montería",2020,2.07277155712516,1.95673321176195,0.00584791698931392
"Córdoba","Montería",2021,2.03928727315104,1.9720106609902,0.00530436099333737
"Córdoba","Montería",2022,2.02062446435967,2.01552465732007,0.00689699110428902
"Córdoba","Montería",2023,2.4482699035783,2.41747064379249,0.00537052414054949
"Cundinamarca","Cundinamarca",2020,1.94689060672991,1.91177842804554,0.013574974476612
"Cundinamarca","Cundinamarca",2021,1.84302870350692,1.84891499644228,0.0114415265137331
"Cundinamarca","Cundinamarca",2022,1.85857644138762,1.85148060738086,0.0110034819365753
"Cundinamarca","Cundinamarca",2023,1.80593430223504,1.80821366409367,0.0114366449320354
"Guainía","Inírida",2020,2.63268816430443,2.6447242711348,0.0055518330621231
"Guainía","Inírida",2021,2.40879452640404,2.39655880500539,0.00579736817889022
"Guainía","Inírida",2022,2.91723781715782,2.91385869095664,0.00506036931818182
"Guainía","Inírida",2023,2.97747504759408,2.97782400235655,0.00369162087912088
"Guaviare","San José del Guaviare",2020,1.8863679274106,1.90854343903131,0.012762114191471
"Guaviare","San José del Guaviare",2021,1.9265092572671,1.90429642206601,0.00915245263038463
"Guaviare","San José del Guaviare",2022,1.62309258761225,1.66529019650765,0.0120464388397569
"Guaviare","San José del Guaviare",2023,1.89939490952708,1.91749594771243,0.0093830964218192
"Huila","Neiva",2020,1.92971045656237,1.93306152587206,0.0119845501316042
"Huila","Neiva",2021,1.8670657836445,1.88138473319563,0.0117374533082785
"Huila","Neiva",2022,1.86220824290009,1.88716412431988,0.0110136437676525
"Huila","Neiva",2023,1.86890551535619,1.87813725924285,0.0103190383824421
"La Guajira","Riohacha",2020,2.38640424515831,2.37193194784118,0.00468700956065118
"La Guajira","Riohacha",2021,2.31478039828092,2.3104529110137,0.00506498159669066
"La Guajira","Riohacha",2022,2.15659805515046,2.18818698509532,0.00578005175345252
"La Guajira","Riohacha",2023,2.18701908844533,2.14928077562265,0.00607556915795342
"Magdalena","Santa Marta",2020,2.12522416998906,2.08745884109005,0.00723421986705267
"Magdalena","Santa Marta",2021,1.9575382955979,1.91032737986874,0.00779403268711075
"Magdalena","Santa Marta",2022,1.99114365590589,1.9609149212082,0.00772902885668861
"Magdalena","Santa Marta",2023,1.87264516864522,1.87498335289032,0.00850958079392024
"Meta","Villavicencio",2020,1.87245760586464,1.91352576773343,0.00882774557735346
